x,stress,truck_position,source,position
[m],[MPa],[-],[-],[-]
20.376636363636468,33.50508,right,measurement,H1_S
20.496977272727378,33.1989,right,measurement,H1_S
20.617318181818288,33.0645,right,measurement,H1_S
20.737659090909197,33.12372,right,measurement,H1_S
20.858000000000107,33.25497,right,measurement,H1_S
20.978340909091017,33.62583,right,measurement,H1_S
21.098681818181927,34.080690000000004,right,measurement,H1_S
21.219022727272836,34.5492,right,measurement,H1_S
21.339363636363746,35.07714,right,measurement,H1_S
21.459704545454656,35.61642,right,measurement,H1_S
21.580045454545566,35.92596,right,measurement,H1_S
21.700386363636476,36.05511,right,measurement,H1_S
21.820727272727385,36.03033,right,measurement,H1_S
21.941068181818295,35.83818,right,measurement,H1_S
22.061409090909205,35.55678,right,measurement,H1_S
22.181750000000115,35.169959999999996,right,measurement,H1_S
22.302090909091024,34.905570000000004,right,measurement,H1_S
22.422431818181934,34.79049,right,measurement,H1_S
22.542772727272844,34.76025,right,measurement,H1_S
22.663113636363754,34.94778,right,measurement,H1_S
22.783454545454664,35.26047,right,measurement,H1_S
22.90379545454557,35.514990000000004,right,measurement,H1_S
23.02413636363648,35.76762,right,measurement,H1_S
23.14447727272739,36.0024,right,measurement,H1_S
23.2648181818183,36.108450000000005,right,measurement,H1_S
23.38515909090921,36.074850000000005,right,measurement,H1_S
23.50550000000012,35.95137,right,measurement,H1_S
23.62584090909103,35.83608,right,measurement,H1_S
23.746181818181938,35.68551,right,measurement,H1_S
23.866522727272848,35.50806,right,measurement,H1_S
23.986863636363758,35.37618,right,measurement,H1_S
24.107204545454668,35.32725000000001,right,measurement,H1_S
24.227545454545577,35.34174,right,measurement,H1_S
24.347886363636487,35.4732,right,measurement,H1_S
24.468227272727397,35.657579999999996,right,measurement,H1_S
24.588568181818307,35.85813,right,measurement,H1_S
24.708909090909216,36.025920000000006,right,measurement,H1_S
24.829250000000126,36.12315,right,measurement,H1_S
24.949590909091036,36.12294,right,measurement,H1_S
25.069931818181946,35.95956,right,measurement,H1_S
25.190272727272855,35.64099,right,measurement,H1_S
25.310613636363765,35.163450000000005,right,measurement,H1_S
25.430954545454675,34.68738,right,measurement,H1_S
25.551295454545585,34.224540000000005,right,measurement,H1_S
25.671636363636495,33.82218,right,measurement,H1_S
25.791977272727404,33.49878,right,measurement,H1_S
25.912318181818314,33.210029999999996,right,measurement,H1_S
26.032659090909224,33.05862,right,measurement,H1_S
26.153000000000134,32.96538,right,measurement,H1_S
26.273340909091043,32.88096,right,measurement,H1_S
26.393681818181953,32.80389,right,measurement,H1_S
26.514022727272863,32.72766,right,measurement,H1_S
26.634363636363773,32.69301,right,measurement,H1_S
26.754704545454683,32.67096,right,measurement,H1_S
26.875045454545592,32.64723,right,measurement,H1_S
26.995386363636502,32.65668,right,measurement,H1_S
27.115727272727412,32.57079,right,measurement,H1_S
27.23606818181832,32.42904,right,measurement,H1_S
27.35640909090923,32.22954,right,measurement,H1_S
27.47675000000014,31.955910000000003,right,measurement,H1_S
27.59709090909105,31.57896,right,measurement,H1_S
27.71743181818196,31.100790000000003,right,measurement,H1_S
27.83777272727287,30.6201,right,measurement,H1_S
27.958113636363777,30.1644,right,measurement,H1_S
28.078454545454687,29.65872,right,measurement,H1_S
28.198795454545596,29.13246,right,measurement,H1_S
28.319136363636506,28.688520000000004,right,measurement,H1_S
28.439477272727416,28.24143,right,measurement,H1_S
28.559818181818326,27.913619999999998,right,measurement,H1_S
28.680159090909235,27.710970000000003,right,measurement,H1_S
28.800500000000145,27.57258,right,measurement,H1_S
